NroLicitacionPublica;IdConvenioMarco;ConvenioMarco;CodigoOC;PorId;NombreOC;FechaEnvioOC;FechaCreacionGC;FechaInvitacion;FechaFinInvitacion;EstadoOC;IdGranCompra;RutUnidadCompra;UnidadCompra;RazonSocialComprador;DireccionUnidadCompra;ComunaUnidadCompra;Institucion;IdProductoCM;NombreProducto;TipoProducto;PrecioTienda;PrecioOfertaEspecial;DescuentoAplicado;CantidadFinal;PrecioOfertaFinal;Adjudicado;RazonSocialSucursal;NombreProveedor;RutProveedor
2239-8-LR23;5802342;Convenio  Marco  de    Adquisición  de  Vehículos;1018-80-CM25;52462552;ADQUISICION  DE  CAMIONETAS  4X4;2025-04-30;1900-01-01;2025-02-26;2025-03-12;Aceptada;75596;61.202.000-0;Dirección  de  Arquitectura  -  MOP;MINISTERIO  DE  OBRAS  PUBLICAS  DIREC  CION  GRAL  DE  OO  PP  DCYF;Morandé  N°  59,  9°  piso;Santiago;MINISTERIO  DE  OBRAS  PUBLICAS  DIREC  CION  GRAL  DE  OO  PP  DCYF;2245256;CAMIONETA  MAXUS  T60  E6  GL  4X4  MT  2025  REGIÓN  RM;CAMIONETA;20330000;19328046;5;5;96640230;No;COMERCIAL  MOTORES  DE  LOS  ANDES  SPA;COMERCIAL  MOTORES  DE  LOS  ANDES  SPA;76.005.909-9
2239-8-LR23;5802342;Convenio  Marco  de    Adquisición  de  Vehículos;1018-80-CM25;52462552;ADQUISICION  DE  CAMIONETAS  4X4;2025-04-30;1900-01-01;2025-02-26;2025-03-12;Aceptada;75596;61.202.000-0;Dirección  de  Arquitectura  -  MOP;MINISTERIO  DE  OBRAS  PUBLICAS  DIREC  CION  GRAL  DE  OO  PP  DCYF;Morandé  N°  59,  9°  piso;Santiago;MINISTERIO  DE  OBRAS  PUBLICAS  DIREC  CION  GRAL  DE  OO  PP  DCYF;2244916;CAMIONETA  JMC  VIGUS  PLUS  4X4  MT  2025  REGIÓN  RM;CAMIONETA;17991000;17991000;0;5;89955000;Si;ASTARA  RETAIL  CHILE  SPA;ASTARA  RETAIL  CHILE  SPA;96.928.530-4
2239-1-LR24;5802359;CONVENIO  MARCO  PARA  COMPUTADORES  PORTÁTILES  DESKTOP  Y  AIO;1106245-47-CM25;52609152;TPG  ADQUISICIÓN  EQUIPOS  COMPUTACIONALES  PARA  EL  CFT  DE  LA  REGIÓN  METROPOLITANA;2025-04-28;2025-04-07;2025-04-07;2025-04-22;Aceptada;76274;62.000.750-1;CENTRO  DE  FORMACION  TECNICA  DE  LA  REGION  METROPOLI;CENTRO  DE  FORMACION  TECNICA  DE  LA  REGION  METROPOLITANA  DE  SANTIAGO;Península  2035,  Peñalolén;Santiago;CENTRO  DE  FORMACION  TECNICA  DE  LA  REGION  METROPOLITANA  DE  SANTIAGO;2227933;LAPTOP  ACER  TMP  214-55-13CL  WINDOWS  11  PRO  INTEL  CORE  I7-1270P  16  GB  1  TB  GAMA  3;LAPTOP;709;709;0;73;51757;No;NET  NOW  TECNOLOGIA  Y  COMPUTACION  S  A;NET  NOW  TECNOLOGÍA  Y  COMPUTACIÓN  S.A.;78.112.170-3
2239-1-LR24;5802359;CONVENIO  MARCO  PARA  COMPUTADORES  PORTÁTILES  DESKTOP  Y  AIO;1106245-47-CM25;52609152;TPG  ADQUISICIÓN  EQUIPOS  COMPUTACIONALES  PARA  EL  CFT  DE  LA  REGIÓN  METROPOLITANA;2025-04-28;2025-04-07;2025-04-07;2025-04-22;Aceptada;76274;62.000.750-1;CENTRO  DE  FORMACION  TECNICA  DE  LA  REGION  METROPOLI;CENTRO  DE  FORMACION  TECNICA  DE  LA  REGION  METROPOLITANA  DE  SANTIAGO;Península  2035,  Peñalolén;Santiago;CENTRO  DE  FORMACION  TECNICA  DE  LA  REGION  METROPOLITANA  DE  SANTIAGO;2227922;LAPTOP  HP  PROBOOK  445  WINDOWS  11  PRO  AMD  RYZEN  3  7330U  8  GB  512  GB  GAMA  1;LAPTOP;453;451;0;240;108448;No;LECHNER  S.A;LECHNER  S.A.;78.114.650-1
2239-1-LR24;5802359;CONVENIO  MARCO  PARA  COMPUTADORES  PORTÁTILES  DESKTOP  Y  AIO;1106245-47-CM25;52609152;TPG  ADQUISICIÓN  EQUIPOS  COMPUTACIONALES  PARA  EL  CFT  DE  LA  REGIÓN  METROPOLITANA;2025-04-28;2025-04-07;2025-04-07;2025-04-22;Aceptada;76274;62.000.750-1;CENTRO  DE  FORMACION  TECNICA  DE  LA  REGION  METROPOLI;CENTRO  DE  FORMACION  TECNICA  DE  LA  REGION  METROPOLITANA  DE  SANTIAGO;Península  2035,  Peñalolén;Santiago;CENTRO  DE  FORMACION  TECNICA  DE  LA  REGION  METROPOLITANA  DE  SANTIAGO;2227932;LAPTOP  HP  PROBOOK  445  WINDOWS  11  PRO  AMD  RYZEN  7  7730U  16  GB  1  TB  GAMA  3;LAPTOP;675;675;0;73;49302;No;LECHNER  S.A;LECHNER  S.A.;78.114.650-1
2239-1-LR24;5802359;CONVENIO  MARCO  PARA  COMPUTADORES  PORTÁTILES  DESKTOP  Y  AIO;1106245-47-CM25;52609152;TPG  ADQUISICIÓN  EQUIPOS  COMPUTACIONALES  PARA  EL  CFT  DE  LA  REGIÓN  METROPOLITANA;2025-04-28;2025-04-07;2025-04-07;2025-04-22;Aceptada;76274;62.000.750-1;CENTRO  DE  FORMACION  TECNICA  DE  LA  REGION  METROPOLI;CENTRO  DE  FORMACION  TECNICA  DE  LA  REGION  METROPOLITANA  DE  SANTIAGO;Península  2035,  Peñalolén;Santiago;CENTRO  DE  FORMACION  TECNICA  DE  LA  REGION  METROPOLITANA  DE  SANTIAGO;2227931;LAPTOP  LENOVO  THINKBOOK  14  WINDOWS  11  PRO  AMD  RYZEN  7  7730U  16  GB  1  TB  GAMA  3;LAPTOP;584;557;5;73;40684;Si;COMERCIALIZADORA  SP  DIGITAL  SPA;COMERCIALIZADORA  SP  DIGITAL  SPA;76.799.430-3
2239-1-LR24;5802359;CONVENIO  MARCO  PARA  COMPUTADORES  PORTÁTILES  DESKTOP  Y  AIO;1106245-47-CM25;52609152;TPG  ADQUISICIÓN  EQUIPOS  COMPUTACIONALES  PARA  EL  CFT  DE  LA  REGIÓN  METROPOLITANA;2025-04-28;2025-04-07;2025-04-07;2025-04-22;Aceptada;76274;62.000.750-1;CENTRO  DE  FORMACION  TECNICA  DE  LA  REGION  METROPOLI;CENTRO  DE  FORMACION  TECNICA  DE  LA  REGION  METROPOLITANA  DE  SANTIAGO;Península  2035,  Peñalolén;Santiago;CENTRO  DE  FORMACION  TECNICA  DE  LA  REGION  METROPOLITANA  DE  SANTIAGO;2227990;MONITOR  SAMSUNG  24"  MONITOR  T45F  FHD  100HZ  PIVOTEABLE  GAMA  1;MONITOR;94;90;4;17;1545;Si;COMERCIALIZADORA  SP  DIGITAL  SPA;COMERCIALIZADORA  SP  DIGITAL  SPA;76.799.430-3
2239-1-LR24;5802359;CONVENIO  MARCO  PARA  COMPUTADORES  PORTÁTILES  DESKTOP  Y  AIO;1106245-47-CM25;52609152;TPG  ADQUISICIÓN  EQUIPOS  COMPUTACIONALES  PARA  EL  CFT  DE  LA  REGIÓN  METROPOLITANA;2025-04-28;2025-04-07;2025-04-07;2025-04-22;Aceptada;76274;62.000.750-1;CENTRO  DE  FORMACION  TECNICA  DE  LA  REGION  METROPOLI;CENTRO  DE  FORMACION  TECNICA  DE  LA  REGION  METROPOLITANA  DE  SANTIAGO;Península  2035,  Peñalolén;Santiago;CENTRO  DE  FORMACION  TECNICA  DE  LA  REGION  METROPOLITANA  DE  SANTIAGO;2227987;MONITOR  ACER  V247Y  23,8  PULGADAS  GAMA  1;MONITOR;78;78;0;17;1326;No;NET  NOW  TECNOLOGIA  Y  COMPUTACION  S  A;NET  NOW  TECNOLOGÍA  Y  COMPUTACIÓN  S.A.;78.112.170-3
2239-1-LR24;5802359;CONVENIO  MARCO  PARA  COMPUTADORES  PORTÁTILES  DESKTOP  Y  AIO;1106245-47-CM25;52609152;TPG  ADQUISICIÓN  EQUIPOS  COMPUTACIONALES  PARA  EL  CFT  DE  LA  REGIÓN  METROPOLITANA;2025-04-28;2025-04-07;2025-04-07;2025-04-22;Aceptada;76274;62.000.750-1;CENTRO  DE  FORMACION  TECNICA  DE  LA  REGION  METROPOLI;CENTRO  DE  FORMACION  TECNICA  DE  LA  REGION  METROPOLITANA  DE  SANTIAGO;Península  2035,  Peñalolén;Santiago;CENTRO  DE  FORMACION  TECNICA  DE  LA  REGION  METROPOLITANA  DE  SANTIAGO;2227920;LAPTOP  LENOVO  THINKBOOK  14  WINDOWS  11  PRO  AMD  RYZEN  3  7330U  8  GB  512  GB  GAMA  1;LAPTOP;463;418;10;240;100557;No;REPARACIONES  BBCC  LIMITADA;REPARACIONES  BBCC  LIMITADA;76.376.530-k
2239-1-LR24;5802359;CONVENIO  MARCO  PARA  COMPUTADORES  PORTÁTILES  DESKTOP  Y  AIO;1106245-47-CM25;52609152;TPG  ADQUISICIÓN  EQUIPOS  COMPUTACIONALES  PARA  EL  CFT  DE  LA  REGIÓN  METROPOLITANA;2025-04-28;2025-04-07;2025-04-07;2025-04-22;Aceptada;76274;62.000.750-1;CENTRO  DE  FORMACION  TECNICA  DE  LA  REGION  METROPOLI;CENTRO  DE  FORMACION  TECNICA  DE  LA  REGION  METROPOLITANA  DE  SANTIAGO;Península  2035,  Peñalolén;Santiago;CENTRO  DE  FORMACION  TECNICA  DE  LA  REGION  METROPOLITANA  DE  SANTIAGO;2227931;LAPTOP  LENOVO  THINKBOOK  14  WINDOWS  11  PRO  AMD  RYZEN  7  7730U  16  GB  1  TB  GAMA  3;LAPTOP;588;540;8;73;39444;No;REPARACIONES  BBCC  LIMITADA;REPARACIONES  BBCC  LIMITADA;76.376.530-k
2239-1-LR24;5802359;CONVENIO  MARCO  PARA  COMPUTADORES  PORTÁTILES  DESKTOP  Y  AIO;1106245-47-CM25;52609152;TPG  ADQUISICIÓN  EQUIPOS  COMPUTACIONALES  PARA  EL  CFT  DE  LA  REGIÓN  METROPOLITANA;2025-04-28;2025-04-07;2025-04-07;2025-04-22;Aceptada;76274;62.000.750-1;CENTRO  DE  FORMACION  TECNICA  DE  LA  REGION  METROPOLI;CENTRO  DE  FORMACION  TECNICA  DE  LA  REGION  METROPOLITANA  DE  SANTIAGO;Península  2035,  Peñalolén;Santiago;CENTRO  DE  FORMACION  TECNICA  DE  LA  REGION  METROPOLITANA  DE  SANTIAGO;2227990;MONITOR  SAMSUNG  24"  MONITOR  T45F  FHD  100HZ  PIVOTEABLE  GAMA  1;MONITOR;91;91;1;17;1550;No;COMPUTACION  E  INGENIERIA  S  A;COMPUTACION  E  INGENIERIA  S.A.;96.693.120-5
2239-1-LR24;5802359;CONVENIO  MARCO  PARA  COMPUTADORES  PORTÁTILES  DESKTOP  Y  AIO;1106245-47-CM25;52609152;TPG  ADQUISICIÓN  EQUIPOS  COMPUTACIONALES  PARA  EL  CFT  DE  LA  REGIÓN  METROPOLITANA;2025-04-28;2025-04-07;2025-04-07;2025-04-22;Aceptada;76274;62.000.750-1;CENTRO  DE  FORMACION  TECNICA  DE  LA  REGION  METROPOLI;CENTRO  DE  FORMACION  TECNICA  DE  LA  REGION  METROPOLITANA  DE  SANTIAGO;Península  2035,  Peñalolén;Santiago;CENTRO  DE  FORMACION  TECNICA  DE  LA  REGION  METROPOLITANA  DE  SANTIAGO;2227920;LAPTOP  LENOVO  THINKBOOK  14  WINDOWS  11  PRO  AMD  RYZEN  3  7330U  8  GB  512  GB  GAMA  1;LAPTOP;463;434;6;240;104388;Si;COMERCIALIZADORA  SP  DIGITAL  SPA;COMERCIALIZADORA  SP  DIGITAL  SPA;76.799.430-3
2239-1-LR24;5802359;CONVENIO  MARCO  PARA  COMPUTADORES  PORTÁTILES  DESKTOP  Y  AIO;1106245-47-CM25;52609152;TPG  ADQUISICIÓN  EQUIPOS  COMPUTACIONALES  PARA  EL  CFT  DE  LA  REGIÓN  METROPOLITANA;2025-04-28;2025-04-07;2025-04-07;2025-04-22;Aceptada;76274;62.000.750-1;CENTRO  DE  FORMACION  TECNICA  DE  LA  REGION  METROPOLI;CENTRO  DE  FORMACION  TECNICA  DE  LA  REGION  METROPOLITANA  DE  SANTIAGO;Península  2035,  Peñalolén;Santiago;CENTRO  DE  FORMACION  TECNICA  DE  LA  REGION  METROPOLITANA  DE  SANTIAGO;2227923;LAPTOP  ACER  TMP  214-55-11CL  WINDOWS  11  PRO  INTEL  CORE  I3-1315U  8  GB  512  GB  GAMA  1;LAPTOP;484;439;9;240;105360;No;NET  NOW  TECNOLOGIA  Y  COMPUTACION  S  A;NET  NOW  TECNOLOGÍA  Y  COMPUTACIÓN  S.A.;78.112.170-3
