NroLicitacionPublica;IdConvenioMarco;ConvenioMarco;CodigoOC;PorId;NombreOC;FechaEnvioOC;FechaCreacionGC;FechaInvitacion;FechaFinInvitacion;EstadoOC;IdGranCompra;RutUnidadCompra;UnidadCompra;RazonSocialComprador;DireccionUnidadCompra;ComunaUnidadCompra;Institucion;IdProductoCM;NombreProducto;TipoProducto;PrecioTienda;PrecioOfertaEspecial;DescuentoAplicado;CantidadFinal;PrecioOfertaFinal;Adjudicado;RazonSocialSucursal;NombreProveedor;RutProveedor
2239-7-LR17;5800279;ALIMENTOS;1172953-26-CM25;52142903;Orden  de  Compra  generada  por  la  Gran  Compra:  73639;2025-02-10;2024-10-11;2024-10-11;2024-10-25;Recepción  Conforme;73639;61.939.400-3;CET  Cerrado  CCP  Colina  1;Centro  de  Educación  y  Trabajo  Colina  1;;Colina;DIRECCION  GENERAL  DE  GENDARMERIA  DE  CHIL;1563828;HARINA  SIN  POLVOS  LINDEROS  SUPER  PAN  SACO  25K  UNIDAD  RM;HARINA  SIN  POLVOS;24871;16660;33;20000;333200000;Si;MOLINO  LINDEROS  S  A;MOLINO  LINDEROS  S.A.;92.156.000-1
2239-7-LR17;5800279;ALIMENTOS;1172953-26-CM25;52142903;Orden  de  Compra  generada  por  la  Gran  Compra:  73639;2025-02-10;2024-10-11;2024-10-11;2024-10-25;Recepción  Conforme;73639;61.939.400-3;CET  Cerrado  CCP  Colina  1;Centro  de  Educación  y  Trabajo  Colina  1;;Colina;DIRECCION  GENERAL  DE  GENDARMERIA  DE  CHIL;1563828;HARINA  SIN  POLVOS  LINDEROS  SUPER  PAN  SACO  25K  UNIDAD  RM;HARINA  SIN  POLVOS;22947;21106;8;20000;422120000;No;MULTINEGOCIOS  MACJ  CHILE  SPA;MULTINEGOCIOS  MACJ  CHILE  SPA;76.225.217-1
2239-7-LR17;5800279;ALIMENTOS;1172953-26-CM25;52142903;Orden  de  Compra  generada  por  la  Gran  Compra:  73639;2025-02-10;2024-10-11;2024-10-11;2024-10-25;Recepción  Conforme;73639;61.939.400-3;CET  Cerrado  CCP  Colina  1;Centro  de  Educación  y  Trabajo  Colina  1;;Colina;DIRECCION  GENERAL  DE  GENDARMERIA  DE  CHIL;2039213;HARINA  SIN  POLVOS  -  SACO  25  K  UNIDAD  RM;HARINA  SIN  POLVOS;18478;17323;6;20000;346460000;No;DISTRIBUIDORA  ECOMARK  CORONEL  SPA;Ecomark;76.104.415-k
2239-7-LR17;5800279;ALIMENTOS;1172953-26-CM25;52142903;Orden  de  Compra  generada  por  la  Gran  Compra:  73639;2025-02-10;2024-10-11;2024-10-11;2024-10-25;Recepción  Conforme;73639;61.939.400-3;CET  Cerrado  CCP  Colina  1;Centro  de  Educación  y  Trabajo  Colina  1;;Colina;DIRECCION  GENERAL  DE  GENDARMERIA  DE  CHIL;2039247;HARINA  SIN  POLVOS  -  SACO  25  K  100  UNIDADES  RM;HARINA  SIN  POLVOS;18449;15990;13;20000;319800000;No;ACEITERA  SAN  FERNANDO  SPA;ACEITERA  SAN  FERNANDO;76.339.792-0
2239-1-LR24;5802359;CONVENIO  MARCO  PARA  COMPUTADORES  PORTÁTILES  DESKTOP  Y  AIO;1211839-136-CM25;52156644;Orden  de  Compra  generada  por  la  Gran  Compra:  74742;2025-02-13;2025-01-20;2025-01-20;2025-02-03;Recepción  Conforme;74742;70.856.400-1;DEPARTAMENTO  DE  ABASTECIMIENTO;CORP  MUNIC  EDUC  SALUD  Y  ATENCION;;Puente  Alto;CORP  MUNIC  EDUC  SALUD  Y  ATENCION;2227953;ALL  IN  ONE  LENOVO  THINKCENTRE  NEO  50A  24  WINDOWS  11  PRO  INTEL  CORE  I5-13500H  16  GB  1  TB  GAMA  2;ALL  IN  ONE;634;580;8;320;185913;No;BOOKCOMPUTER  COMERCIALIZADORA  SPA;BOOKCOMPUTER  COMERCIALIZADORA  SPA;77.108.316-1
2239-1-LR24;5802359;CONVENIO  MARCO  PARA  COMPUTADORES  PORTÁTILES  DESKTOP  Y  AIO;1211839-136-CM25;52156644;Orden  de  Compra  generada  por  la  Gran  Compra:  74742;2025-02-13;2025-01-20;2025-01-20;2025-02-03;Recepción  Conforme;74742;70.856.400-1;DEPARTAMENTO  DE  ABASTECIMIENTO;CORP  MUNIC  EDUC  SALUD  Y  ATENCION;;Puente  Alto;CORP  MUNIC  EDUC  SALUD  Y  ATENCION;2227953;ALL  IN  ONE  LENOVO  THINKCENTRE  NEO  50A  24  WINDOWS  11  PRO  INTEL  CORE  I5-13500H  16  GB  1  TB  GAMA  2;ALL  IN  ONE;632;595;6;320;190464;No;TIC  SERVICES  SPA;TIC  SERVICES  SPA;76.423.634-3
2239-1-LR24;5802359;CONVENIO  MARCO  PARA  COMPUTADORES  PORTÁTILES  DESKTOP  Y  AIO;1211839-136-CM25;52156644;Orden  de  Compra  generada  por  la  Gran  Compra:  74742;2025-02-13;2025-01-20;2025-01-20;2025-02-03;Recepción  Conforme;74742;70.856.400-1;DEPARTAMENTO  DE  ABASTECIMIENTO;CORP  MUNIC  EDUC  SALUD  Y  ATENCION;;Puente  Alto;CORP  MUNIC  EDUC  SALUD  Y  ATENCION;2227954;ALL  IN  ONE  HP  PROONE  440  G9  WINDOWS  11  PRO  INTEL  CORE  I5-12500  16  GB  16  GB  GAMA  2;ALL  IN  ONE;687;650;5;320;208256;No;LECHNER  S.A;LECHNER  S.A.;78.114.650-1
2239-1-LR24;5802359;CONVENIO  MARCO  PARA  COMPUTADORES  PORTÁTILES  DESKTOP  Y  AIO;1211839-136-CM25;52156644;Orden  de  Compra  generada  por  la  Gran  Compra:  74742;2025-02-13;2025-01-20;2025-01-20;2025-02-03;Recepción  Conforme;74742;70.856.400-1;DEPARTAMENTO  DE  ABASTECIMIENTO;CORP  MUNIC  EDUC  SALUD  Y  ATENCION;;Puente  Alto;CORP  MUNIC  EDUC  SALUD  Y  ATENCION;2227954;ALL  IN  ONE  HP  PROONE  440  G9  WINDOWS  11  PRO  INTEL  CORE  I5-12500  16  GB  16  GB  GAMA  2;ALL  IN  ONE;683;680;1;320;217600;No;SOCIEDAD  COMERCIAL  INFOSTORE  LIMITADA;SOCIEDAD  COMERCIAL  INFOSTORE  LTDA;76.131.929-9
2239-1-LR24;5802359;CONVENIO  MARCO  PARA  COMPUTADORES  PORTÁTILES  DESKTOP  Y  AIO;1211839-136-CM25;52156644;Orden  de  Compra  generada  por  la  Gran  Compra:  74742;2025-02-13;2025-01-20;2025-01-20;2025-02-03;Recepción  Conforme;74742;70.856.400-1;DEPARTAMENTO  DE  ABASTECIMIENTO;CORP  MUNIC  EDUC  SALUD  Y  ATENCION;;Puente  Alto;CORP  MUNIC  EDUC  SALUD  Y  ATENCION;2227954;ALL  IN  ONE  HP  PROONE  440  G9  WINDOWS  11  PRO  INTEL  CORE  I5-12500  16  GB  16  GB  GAMA  2;ALL  IN  ONE;687;629;8;320;64688947;Si;INTEGRACION  DE  SOLUCIONES  LIMITADA;INTEGRACION  DE  SOLUCIONES  LIMITADA;76.128.275-1
2239-1-LR24;5802359;CONVENIO  MARCO  PARA  COMPUTADORES  PORTÁTILES  DESKTOP  Y  AIO;1211839-136-CM25;52156644;Orden  de  Compra  generada  por  la  Gran  Compra:  74742;2025-02-13;2025-01-20;2025-01-20;2025-02-03;Recepción  Conforme;74742;70.856.400-1;DEPARTAMENTO  DE  ABASTECIMIENTO;CORP  MUNIC  EDUC  SALUD  Y  ATENCION;;Puente  Alto;CORP  MUNIC  EDUC  SALUD  Y  ATENCION;2227953;ALL  IN  ONE  LENOVO  THINKCENTRE  NEO  50A  24  WINDOWS  11  PRO  INTEL  CORE  I5-13500H  16  GB  1  TB  GAMA  2;ALL  IN  ONE;634;593;6;320;189888;No;COMERCIALIZADORA  SP  DIGITAL  SPA;COMERCIALIZADORA  SP  DIGITAL  SPA;76.799.430-3
