NroLicitacionPublica;IdConvenioMarco;ConvenioMarco;CodigoOC;PorId;NombreOC;FechaEnvioOC;FechaCreacionGC;FechaInvitacion;FechaFinInvitacion;EstadoOC;IdGranCompra;RutUnidadCompra;UnidadCompra;RazonSocialComprador;DireccionUnidadCompra;ComunaUnidadCompra;Institucion;IdProductoCM;NombreProducto;TipoProducto;PrecioTienda;PrecioOfertaEspecial;DescuentoAplicado;CantidadFinal;PrecioOfertaFinal;Adjudicado;RazonSocialSucursal;NombreProveedor;RutProveedor
2239-21-LR23;5802355;Convenio  Marco  de  Insumos  y  Dispositivos  Médicos  (Magento);1057544-9874-CM24;51806618;Orden  de  Compra  generada  por  la  Gran  Compra:  73752;2025-03-27;2024-10-21;2024-10-22;2024-11-08;Aceptada;73752;61.607.202-1;Bienes  y  Servicios;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;Avenida  Alto  Horno,  777  Las  Higueras;Talcahuano;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;2232753;PLANA  QUIRÚRGICA  MEDLINE  KIT  UNIVERSAL  DYNJPX10553  UNIDAD;PLANA  QUIRÚRGICA;9990;9790;2;28000;274120000;No;MEDLINE  CHILE  SPA;MEDLINE  CHILE  SPA;77.460.383-2
2239-21-LR23;5802355;Convenio  Marco  de  Insumos  y  Dispositivos  Médicos  (Magento);1057544-9874-CM24;51806618;Orden  de  Compra  generada  por  la  Gran  Compra:  73752;2025-03-27;2024-10-21;2024-10-22;2024-11-08;Aceptada;73752;61.607.202-1;Bienes  y  Servicios;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;Avenida  Alto  Horno,  777  Las  Higueras;Talcahuano;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;2232831;PLANA  QUIRÚRGICA  SMARTMED  KIT  UNIVERSAL  P013B-II  UNIDAD;PLANA  QUIRÚRGICA;13999;11590;17;28000;324520000;Si;COMERCIAL  LBF  LIMITADA;COMERCIAL  LBF  LIMITADA;93.366.000-1
2239-21-LR23;5802355;Convenio  Marco  de  Insumos  y  Dispositivos  Médicos  (Magento);1057544-9874-CM24;51806618;Orden  de  Compra  generada  por  la  Gran  Compra:  73752;2025-03-27;2024-10-21;2024-10-22;2024-11-08;Aceptada;73752;61.607.202-1;Bienes  y  Servicios;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;Avenida  Alto  Horno,  777  Las  Higueras;Talcahuano;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;2232736;PLANA  QUIRÚRGICA  HOFSAMED  KIT  UNIVERSAL  UNIDAD;PLANA  QUIRÚRGICA;12300;11900;3;28000;333200000;No;DROGUERIA  HOFMANN  LIMITADA  Y  COMPANIA  SOCIEDAD  EN  COMANDITA  POR  ACCION;DROGUERIA  HOFMANN  SAC;92.288.000-k
2239-21-LR23;5802355;Convenio  Marco  de  Insumos  y  Dispositivos  Médicos  (Magento);1057544-9874-CM24;51806618;Orden  de  Compra  generada  por  la  Gran  Compra:  73752;2025-03-27;2024-10-21;2024-10-22;2024-11-08;Aceptada;73752;61.607.202-1;Bienes  y  Servicios;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;Avenida  Alto  Horno,  777  Las  Higueras;Talcahuano;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;2232726;PLANA  QUIRÚRGICA  HEALTH-PAK  MADEGOM  KIT  HEMODINAMIA  4  UNIDADES;PLANA  QUIRÚRGICA;129948;13998;89;28000;391944000;No;COMERCIAL  ETHOS  S  A;COMERCIAL  ETHOS  S.  A.;78.583.750-9
2239-21-LR23;5802355;Convenio  Marco  de  Insumos  y  Dispositivos  Médicos  (Magento);1057544-9874-CM24;51806618;Orden  de  Compra  generada  por  la  Gran  Compra:  73752;2025-03-27;2024-10-21;2024-10-22;2024-11-08;Aceptada;73752;61.607.202-1;Bienes  y  Servicios;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;Avenida  Alto  Horno,  777  Las  Higueras;Talcahuano;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;2232755;PLANA  QUIRÚRGICA  NEMO  KIT  UNIVERSAL  UNIDAD;PLANA  QUIRÚRGICA;12350;10918;12;28000;305704000;No;NEMO  CHILE  S.A.;NEMO  CHILE  S.  A.;76.215.260-6
2239-21-LR23;5802355;Convenio  Marco  de  Insumos  y  Dispositivos  Médicos  (Magento);1057544-9874-CM24;51806618;Orden  de  Compra  generada  por  la  Gran  Compra:  73752;2025-03-27;2024-10-21;2024-10-22;2024-11-08;Aceptada;73752;61.607.202-1;Bienes  y  Servicios;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;Avenida  Alto  Horno,  777  Las  Higueras;Talcahuano;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;2232800;PLANA  QUIRÚRGICA  OPERA  KIT  UNIVERSAL  75-P133S  UNIDAD;PLANA  QUIRÚRGICA;11589;17500;-51;28000;490000000;No;PLAN  A  SPA;PLAN  A  SPA;77.883.662-9
2239-21-LR23;5802355;Convenio  Marco  de  Insumos  y  Dispositivos  Médicos  (Magento);1057544-9874-CM24;51806618;Orden  de  Compra  generada  por  la  Gran  Compra:  73752;2025-03-27;2024-10-21;2024-10-22;2024-11-08;Aceptada;73752;61.607.202-1;Bienes  y  Servicios;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;Avenida  Alto  Horno,  777  Las  Higueras;Talcahuano;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;2237032;PLANA  QUIRÚRGICA  HEALTH-PAK  MADEGOM  KIT  UNIVERSAL  UNIDAD;PLANA  QUIRÚRGICA;9890;9890;0;28000;276920000;No;MADEGOM  SPA;MADEGOM  S.  A.;84.609.600-0
2239-2-LR23;5802330;Convenio  Marco  Artículos  de  Escritorio  y  Papelería;1084156-2541-CM25;52361978;VM  P02  7734  GENERAL-SEP-JUNJI  RESMAS  PARA  EE;2025-03-25;2025-02-14;2025-02-14;2025-02-28;Recepción  Conforme;75349;65.181.672-6;Compras  y  Licitaciones;SERVICIO  LOCAL  DE  EDUCACION  PUBLICA  ANDALIEN  SUR;Caupolicán  518  Piso  3;Concepción;SERVICIO  LOCAL  DE  EDUCACION  PUBLICA  ANDALIEN  SUR;2013835;PAPEL  IMPRESIÓN  PREMIER  RESMA  HOJA  TAMAÑO  OFICIO  COLOR  BLANCO  500  HOJAS  UNIDAD  REGIÓN  VIII;PAPEL  IMPRESIÓN;3880;3302;15;12675;41852850;No;SERVICIOS  INTEGRADOS  SIDAPT  LIMITADA;SERVICIOS  INTEGRADOS  SIDAPT  LIMITADA;76.299.358-9
2239-2-LR23;5802330;Convenio  Marco  Artículos  de  Escritorio  y  Papelería;1084156-2541-CM25;52361978;VM  P02  7734  GENERAL-SEP-JUNJI  RESMAS  PARA  EE;2025-03-25;2025-02-14;2025-02-14;2025-02-28;Recepción  Conforme;75349;65.181.672-6;Compras  y  Licitaciones;SERVICIO  LOCAL  DE  EDUCACION  PUBLICA  ANDALIEN  SUR;Caupolicán  518  Piso  3;Concepción;SERVICIO  LOCAL  DE  EDUCACION  PUBLICA  ANDALIEN  SUR;2013495;PAPEL  IMPRESIÓN  EQUALIT  RESMA  HOJA  TAMAÑO  OFICIO  COLOR  BLANCO  500  HOJAS  UNIDAD  REGIÓN  VIII;PAPEL  IMPRESIÓN;4120;3386;18;12675;42917550;No;LIBRERÍA  ATLANTIK  LIMITADA;LIBRERÍA  ATLANTIK  LIMITADA;76.943.080-6
2239-2-LR23;5802330;Convenio  Marco  Artículos  de  Escritorio  y  Papelería;1084156-2541-CM25;52361978;VM  P02  7734  GENERAL-SEP-JUNJI  RESMAS  PARA  EE;2025-03-25;2025-02-14;2025-02-14;2025-02-28;Recepción  Conforme;75349;65.181.672-6;Compras  y  Licitaciones;SERVICIO  LOCAL  DE  EDUCACION  PUBLICA  ANDALIEN  SUR;Caupolicán  518  Piso  3;Concepción;SERVICIO  LOCAL  DE  EDUCACION  PUBLICA  ANDALIEN  SUR;2013478;PAPEL  IMPRESIÓN  EQUALIT  RESMA  HOJA  TAMAÑO  CARTA  COLOR  BLANCO  500  HOJAS  UNIDAD  REGIÓN  VIII;PAPEL  IMPRESIÓN;3760;2835;25;13915;39449025;No;LIBRERÍA  ATLANTIK  LIMITADA;LIBRERÍA  ATLANTIK  LIMITADA;76.943.080-6
2239-2-LR23;5802330;Convenio  Marco  Artículos  de  Escritorio  y  Papelería;1084156-2541-CM25;52361978;VM  P02  7734  GENERAL-SEP-JUNJI  RESMAS  PARA  EE;2025-03-25;2025-02-14;2025-02-14;2025-02-28;Recepción  Conforme;75349;65.181.672-6;Compras  y  Licitaciones;SERVICIO  LOCAL  DE  EDUCACION  PUBLICA  ANDALIEN  SUR;Caupolicán  518  Piso  3;Concepción;SERVICIO  LOCAL  DE  EDUCACION  PUBLICA  ANDALIEN  SUR;2013461;PAPEL  IMPRESIÓN  DIPISA  RESMA  HOJA  TAMAÑO  OFICIO  COLOR  BLANCO  500  HOJAS  UNIDAD  REGIÓN  VIII;PAPEL  IMPRESIÓN;3998;3997;0;13915;55618255;No;SONIA  ANGÉLICA  LOBOS  MADRIGAL;SONIA  ANGÉLICA  LOBOS  MADRIGAL;8.306.984-8
2239-2-LR23;5802330;Convenio  Marco  Artículos  de  Escritorio  y  Papelería;1084156-2541-CM25;52361978;VM  P02  7734  GENERAL-SEP-JUNJI  RESMAS  PARA  EE;2025-03-25;2025-02-14;2025-02-14;2025-02-28;Recepción  Conforme;75349;65.181.672-6;Compras  y  Licitaciones;SERVICIO  LOCAL  DE  EDUCACION  PUBLICA  ANDALIEN  SUR;Caupolicán  518  Piso  3;Concepción;SERVICIO  LOCAL  DE  EDUCACION  PUBLICA  ANDALIEN  SUR;2013818;PAPEL  IMPRESIÓN  PREMIER  RESMA  HOJA  TAMAÑO  CARTA  COLOR  BLANCO  500  HOJAS  UNIDAD  REGIÓN  VIII;PAPEL  IMPRESIÓN;3363;2810;16;13915;39101150;No;SERVICIOS  INTEGRADOS  SIDAPT  LIMITADA;SERVICIOS  INTEGRADOS  SIDAPT  LIMITADA;76.299.358-9
2239-2-LR23;5802330;Convenio  Marco  Artículos  de  Escritorio  y  Papelería;1084156-2541-CM25;52361978;VM  P02  7734  GENERAL-SEP-JUNJI  RESMAS  PARA  EE;2025-03-25;2025-02-14;2025-02-14;2025-02-28;Recepción  Conforme;75349;65.181.672-6;Compras  y  Licitaciones;SERVICIO  LOCAL  DE  EDUCACION  PUBLICA  ANDALIEN  SUR;Caupolicán  518  Piso  3;Concepción;SERVICIO  LOCAL  DE  EDUCACION  PUBLICA  ANDALIEN  SUR;2013444;PAPEL  IMPRESIÓN  DIPISA  RESMA  HOJA  TAMAÑO  CARTA  COLOR  BLANCO  500  HOJAS  UNIDAD  REGIÓN  VIII;PAPEL  IMPRESIÓN;3398;3397;0;13915;47269255;No;SONIA  ANGÉLICA  LOBOS  MADRIGAL;SONIA  ANGÉLICA  LOBOS  MADRIGAL;8.306.984-8
2239-2-LR23;5802330;Convenio  Marco  Artículos  de  Escritorio  y  Papelería;1084156-2541-CM25;52361978;VM  P02  7734  GENERAL-SEP-JUNJI  RESMAS  PARA  EE;2025-03-25;2025-02-14;2025-02-14;2025-02-28;Recepción  Conforme;75349;65.181.672-6;Compras  y  Licitaciones;SERVICIO  LOCAL  DE  EDUCACION  PUBLICA  ANDALIEN  SUR;Caupolicán  518  Piso  3;Concepción;SERVICIO  LOCAL  DE  EDUCACION  PUBLICA  ANDALIEN  SUR;2013869;PAPEL  IMPRESIÓN  PRISA  RESMA  HOJA  TAMAÑO  OFICIO  COLOR  BLANCO  500  HOJAS  UNIDAD  REGIÓN  VIII;PAPEL  IMPRESIÓN;3509;3141;10;12675;39812175;No;PROVEEDORES  INTEGRALES  PRISA  S  A;PROVEEDORES  INTEGRALES  PRISA  S  A;96.556.940-5
