NroLicitacionPublica;IdConvenioMarco;ConvenioMarco;CodigoOC;PorId;NombreOC;FechaEnvioOC;FechaCreacionGC;FechaInvitacion;FechaFinInvitacion;EstadoOC;IdGranCompra;RutUnidadCompra;UnidadCompra;RazonSocialComprador;DireccionUnidadCompra;ComunaUnidadCompra;Institucion;IdProductoCM;NombreProducto;TipoProducto;PrecioTienda;PrecioOfertaEspecial;DescuentoAplicado;CantidadFinal;PrecioOfertaFinal;Adjudicado;RazonSocialSucursal;NombreProveedor;RutProveedor
2239-11-LR24;5802370;Convenio  Marco  para  la  adquisición  de  licencias  de  software  de  ofimática  (Magento);1020-311-CM25;53319692;Adq  3.700  Licencias  Microsoft  Office  365  E1  (GC  77083);2025-08-26;2025-06-02;2025-06-03;2025-06-17;Aceptada;77083;61.202.000-0;MOP  Subsecretaría;MINISTERIO  DE  OBRAS  PUBLICAS  DIREC  CION  GRAL  DE  OO  PP  DCYF;;Santiago;MINISTERIO  DE  OBRAS  PUBLICAS  DIREC  CION  GRAL  DE  OO  PP  DCYF;4193083;LICENCIA  GOOGLE  WORKSPACE  ENTERPRISE  STANDARD  GAMA  3E  VALOR  ANUAL;LICENCIA;150;127;15;3700;473156;No;EMPRESA  NACIONAL  DE  TELECOMUNICACIONES  S  A;EMPRESA  NACIONAL  DE  TELECOMUNICACIONES  S.A.;92.580.000-7
2239-11-LR24;5802370;Convenio  Marco  para  la  adquisición  de  licencias  de  software  de  ofimática  (Magento);1020-311-CM25;53319692;Adq  3.700  Licencias  Microsoft  Office  365  E1  (GC  77083);2025-08-26;2025-06-02;2025-06-03;2025-06-17;Aceptada;77083;61.202.000-0;MOP  Subsecretaría;MINISTERIO  DE  OBRAS  PUBLICAS  DIREC  CION  GRAL  DE  OO  PP  DCYF;;Santiago;MINISTERIO  DE  OBRAS  PUBLICAS  DIREC  CION  GRAL  DE  OO  PP  DCYF;4193073;LICENCIA  MICROSOFT  OFFICE  365  E1  +  DEFENDER  P1  +  TEAMS  GAMA  1E  VALOR  ANUAL;LICENCIA;94;94;0;3700;348096;Si;MSLI  Latam  Inc.;MSLI  Latam  INC;880443249
2239-9-LR24;5802368;Convenio  Marco  para  la  adquisición  de  Alimentos  (Magento);1057544-12380-CM25;52793095;Orden  de  Compra  generada  por  la  Gran  Compra:  76628;2025-08-18;2025-04-24;2025-04-24;2025-05-09;Aceptada;76628;61.607.202-1;Bienes  y  Servicios;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;Avenida  Alto  Horno,  777  Las  Higueras;Talcahuano;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;4278172;VACUNO  MOLIDO  CONGELADO  10%  MG  BOLSA  1  K  UNIDAD  VIII  REGIÓN;VACUNO  MOLIDO  CONGELADO;5779;5798;0;6000;34788000;No;JOSE  VICENTE  SUAZO  BENITEZ;vicente  2009;8.693.714-k
2239-9-LR24;5802368;Convenio  Marco  para  la  adquisición  de  Alimentos  (Magento);1057544-12380-CM25;52793095;Orden  de  Compra  generada  por  la  Gran  Compra:  76628;2025-08-18;2025-04-24;2025-04-24;2025-05-09;Aceptada;76628;61.607.202-1;Bienes  y  Servicios;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;Avenida  Alto  Horno,  777  Las  Higueras;Talcahuano;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;4280756;LOMO  CENTRO  CERDO  SIN  MARINAR  BOLSA  1  K  UNIDAD  VIII  REGIÓN;LOMO  CENTRO  CERDO;6500;6200;5;240;1488000;No;VICTOR  ROSALES  COMERCIALIZADORA  E.I.R.L.;VICTOR  ROSALES  COMERCIALIZADORA  E.I.R.L.;76.100.933-8
2239-9-LR24;5802368;Convenio  Marco  para  la  adquisición  de  Alimentos  (Magento);1057544-12380-CM25;52793095;Orden  de  Compra  generada  por  la  Gran  Compra:  76628;2025-08-18;2025-04-24;2025-04-24;2025-05-09;Aceptada;76628;61.607.202-1;Bienes  y  Servicios;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;Avenida  Alto  Horno,  777  Las  Higueras;Talcahuano;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;4280144;PULPA  CERDO  CONGELADA  MARINADA  BOLSA  1  K  UNIDAD  VIII  REGIÓN;PULPA  CERDO  CONGELADA;4274;4270;0;240;1024800;Si;JOSE  VICENTE  SUAZO  BENITEZ;vicente  2009;8.693.714-k
2239-9-LR24;5802368;Convenio  Marco  para  la  adquisición  de  Alimentos  (Magento);1057544-12380-CM25;52793095;Orden  de  Compra  generada  por  la  Gran  Compra:  76628;2025-08-18;2025-04-24;2025-04-24;2025-05-09;Aceptada;76628;61.607.202-1;Bienes  y  Servicios;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;Avenida  Alto  Horno,  777  Las  Higueras;Talcahuano;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;4281606;CHULETA  CERDO  SIN  MARINAR  BOLSA  1  K  UNIDAD  VIII  REGIÓN;CHULETA  CERDO;4568;3647;20;240;875280;No;COMERCIAL  SEA  GARDEN  SPA;SEA  GARDEN  SPA;76.095.906-5
2239-9-LR24;5802368;Convenio  Marco  para  la  adquisición  de  Alimentos  (Magento);1057544-12380-CM25;52793095;Orden  de  Compra  generada  por  la  Gran  Compra:  76628;2025-08-18;2025-04-24;2025-04-24;2025-05-09;Aceptada;76628;61.607.202-1;Bienes  y  Servicios;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;Avenida  Alto  Horno,  777  Las  Higueras;Talcahuano;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;4298368;MERLUZA  CONGELADA  EL  GOLFO  FILETE  CON  PIEL  BOLSA  500  G  UNIDAD  VIII  REGIÓN;MERLUZA  CONGELADA;4197;4035;4;1680;6778800;No;SERVICIOS  INTEGRADOS  SIDAPT  LIMITADA;SERVICIOS  INTEGRADOS  SIDAPT  LIMITADA;76.299.358-9
2239-9-LR24;5802368;Convenio  Marco  para  la  adquisición  de  Alimentos  (Magento);1057544-12380-CM25;52793095;Orden  de  Compra  generada  por  la  Gran  Compra:  76628;2025-08-18;2025-04-24;2025-04-24;2025-05-09;Aceptada;76628;61.607.202-1;Bienes  y  Servicios;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;Avenida  Alto  Horno,  777  Las  Higueras;Talcahuano;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;4316693;SALMON  CONGELADO  LA  CRIANZA  TROZO  BOLSA  500  G  UNIDAD  XVI  REGIÓN;SALMON  CONGELADO;9498;9400;1;3840;36096000;No;JOSE  VICENTE  SUAZO  BENITEZ;vicente  2009;8.693.714-k
2239-9-LR24;5802368;Convenio  Marco  para  la  adquisición  de  Alimentos  (Magento);1057544-12380-CM25;52793095;Orden  de  Compra  generada  por  la  Gran  Compra:  76628;2025-08-18;2025-04-24;2025-04-24;2025-05-09;Aceptada;76628;61.607.202-1;Bienes  y  Servicios;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;Avenida  Alto  Horno,  777  Las  Higueras;Talcahuano;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;4280144;PULPA  CERDO  CONGELADA  MARINADA  BOLSA  1  K  UNIDAD  VIII  REGIÓN;PULPA  CERDO  CONGELADA;4273;3450;19;240;828000;No;COMERCIAL  SEA  GARDEN  SPA;SEA  GARDEN  SPA;76.095.906-5
2239-9-LR24;5802368;Convenio  Marco  para  la  adquisición  de  Alimentos  (Magento);1057544-12380-CM25;52793095;Orden  de  Compra  generada  por  la  Gran  Compra:  76628;2025-08-18;2025-04-24;2025-04-24;2025-05-09;Aceptada;76628;61.607.202-1;Bienes  y  Servicios;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;Avenida  Alto  Horno,  777  Las  Higueras;Talcahuano;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;4279804;TRUTRO  ENTERO  POLLO  MARINADO  BOLSA  1  K  UNIDAD  VIII  REGIÓN;TRUTRO  ENTERO  POLLO;3912;3546;9;12000;42552000;No;MANOR  SPA;MANOR  SPA;77.909.179-1
