NroLicitacionPublica;IdConvenioMarco;ConvenioMarco;CodigoOC;PorId;NombreOC;FechaEnvioOC;FechaCreacionGC;FechaInvitacion;FechaFinInvitacion;EstadoOC;IdGranCompra;RutUnidadCompra;UnidadCompra;RazonSocialComprador;DireccionUnidadCompra;ComunaUnidadCompra;Institucion;IdProductoCM;NombreProducto;TipoProducto;PrecioTienda;PrecioOfertaEspecial;DescuentoAplicado;CantidadFinal;PrecioOfertaFinal;Adjudicado;RazonSocialSucursal;NombreProveedor;RutProveedor
2239-11-LR24;5802370;Convenio  Marco  para  la  adquisición  de  licencias  de  software  de  ofimática  (Magento);1051173-52-CM25;52950933;Adquisición  de  licencias  de  correo  electrónico  365  y  ofimática  instalable;2025-07-23;2025-06-04;2025-06-04;2025-06-18;Recepción  Conforme;77142;60.100.003-2;Ministerio  Secretaria  General  de  la  Presidencia;MINISTERIO  SECRETARIA  GENERAL  DE  LA  PRESIDENCIA  DE  LA  REPUBLICA;Moneda  N°1160;Santiago;MINISTERIO  SECRETARIA  GENERAL  DE  LA  PRESIDENCIA  DE  LA  REPUBLICA;4193073;LICENCIA  MICROSOFT  OFFICE  365  E1  +  DEFENDER  P1  +  TEAMS  GAMA  1E  VALOR  ANUAL;LICENCIA;94;94;0;20;1881;Si;MSLI  Latam  Inc.;MSLI  Latam  INC;880443249
2239-11-LR24;5802370;Convenio  Marco  para  la  adquisición  de  licencias  de  software  de  ofimática  (Magento);1051173-52-CM25;52950933;Adquisición  de  licencias  de  correo  electrónico  365  y  ofimática  instalable;2025-07-23;2025-06-04;2025-06-04;2025-06-18;Recepción  Conforme;77142;60.100.003-2;Ministerio  Secretaria  General  de  la  Presidencia;MINISTERIO  SECRETARIA  GENERAL  DE  LA  PRESIDENCIA  DE  LA  REPUBLICA;Moneda  N°1160;Santiago;MINISTERIO  SECRETARIA  GENERAL  DE  LA  PRESIDENCIA  DE  LA  REPUBLICA;4193081;LICENCIA  MICROSOFT  OFFICE  365  E1  +  DEFENDER  P1  +  365  APPS  +  TEAMS  +  ENTRA  ID  P1  GAMA  2E  VALOR  ANUAL;LICENCIA;228;228;0;265;60642;Si;MSLI  Latam  Inc.;MSLI  Latam  INC;880443249
2239-21-LR23;5802355;Convenio  Marco  de  Insumos  y  Dispositivos  Médicos  (Magento);1057432-196-CM25;52691140;Orden  de  Compra  generada  por  la  Gran  Compra:  75739;2025-07-10;2025-03-07;2025-03-20;2025-04-03;Recepción  Conforme;75739;61.607.100-9;Servicio  de  Salud    Concepción;SERVICIO  DE  SALUD  CONCEPCION;Ohiggins  N°297;Concepción;SERVICIO  DE  SALUD  CONCEPCION;2230021;COLCHÓN  CLÍNICO  LESENHILF  VISCOELÁSTICO  PACIENTE  UNIDAD;COLCHÓN  CLÍNICO;130910;109000;17;500;54500000;Si;SIMIL  EXPRESS  S.A.;SIMIL  EXPRESS  S.  A.;76.106.857-1
2239-21-LR23;5802355;Convenio  Marco  de  Insumos  y  Dispositivos  Médicos  (Magento);1057432-196-CM25;52691140;Orden  de  Compra  generada  por  la  Gran  Compra:  75739;2025-07-10;2025-03-07;2025-03-20;2025-04-03;Recepción  Conforme;75739;61.607.100-9;Servicio  de  Salud    Concepción;SERVICIO  DE  SALUD  CONCEPCION;Ohiggins  N°297;Concepción;SERVICIO  DE  SALUD  CONCEPCION;2230015;COLCHÓN  CLÍNICO  CLINICON  VISCOELÁSTICO  PACIENTE  UNIDAD;COLCHÓN  CLÍNICO;146015;141015;3;500;70507500;No;CLINICON  SPA;CLINICON  SPA;77.070.635-1
2239-21-LR23;5802355;Convenio  Marco  de  Insumos  y  Dispositivos  Médicos  (Magento);1057432-196-CM25;52691140;Orden  de  Compra  generada  por  la  Gran  Compra:  75739;2025-07-10;2025-03-07;2025-03-20;2025-04-03;Recepción  Conforme;75739;61.607.100-9;Servicio  de  Salud    Concepción;SERVICIO  DE  SALUD  CONCEPCION;Ohiggins  N°297;Concepción;SERVICIO  DE  SALUD  CONCEPCION;2230011;COLCHÓN  CLÍNICO  BLUNDING  VISCOELÁSTICO  PACIENTE  CA-002  UNIDAD;COLCHÓN  CLÍNICO;137959;137000;1;500;68500000;No;BLUNDING  S  A;BLUNDING  S.  A.;79.744.580-0
2239-12-LR23;5802348;Convenio  Marco  para  la  adquisición  seguros  de  vida  con  adicional  de  salud;1111089-352-CM25;53072235;Seguro  de  Salud  colectivo  Servicio  de  Bienestar  2025;2025-07-15;2025-02-12;2025-03-19;2025-04-02;Aceptada;75270;60.915.000-9;Agencia  Nacional  de  Investigación  y  Desarrollo;Agencia  Nacional  de  Investigación  y  Desarrollo  (ANID);Moneda  1375  Santiago  Centro;Santiago;Comisión  Nacional  de  Investigación  Científica  y  Tecnológicas  -  CONICYT;2035638;SEGURO  COLECTIVO  DE  VIDA  CON  ADICIONAL  DE  SALUD  Y  CATASTRÓFICO  -  PLAN  4  VALOR  PRIMA  MENSUAL;SEGURO  COLECTIVO  DE  VIDA  CON  ADICIONAL  DE  SALUD  Y  CATASTRÓFICO;0;0;0;4176;3599;Si;BCI  SEGUROS  VIDA  S  A;BCI  Seguros  Vida  S.A;96.573.600-K
2239-1-LR24;5802359;CONVENIO  MARCO  PARA  COMPUTADORES  PORTÁTILES  DESKTOP  Y  AIO;1233615-1085-CM25;53024856;Gran  Compra:    ID  76742;2025-07-21;2025-05-05;2025-06-05;2025-06-19;Recepción  Conforme;76742;61.980.950-5;Servicio  Local  de  Educación  Pública  Aysén;Servicio  Local  de  Educación  Pública  Aysén;José  de  Moraleda  #437;Coyhaique;Servicio  Local  de  Educación  Pública  Aysén;2227947;LAPTOP  LENOVO  14E  CHROMEBOOK  CHROME  OS  INTEL  CORE  I3-N305  8  GB  128  GB  GAMA  4E;LAPTOP;367;347;6;315;109534;No;BOOKCOMPUTER  COMERCIALIZADORA  SPA;BOOKCOMPUTER  COMERCIALIZADORA  SPA;77.108.316-1
2239-1-LR24;5802359;CONVENIO  MARCO  PARA  COMPUTADORES  PORTÁTILES  DESKTOP  Y  AIO;1233615-1085-CM25;53024856;Gran  Compra:    ID  76742;2025-07-21;2025-05-05;2025-06-05;2025-06-19;Recepción  Conforme;76742;61.980.950-5;Servicio  Local  de  Educación  Pública  Aysén;Servicio  Local  de  Educación  Pública  Aysén;José  de  Moraleda  #437;Coyhaique;Servicio  Local  de  Educación  Pública  Aysén;2227947;LAPTOP  LENOVO  14E  CHROMEBOOK  CHROME  OS  INTEL  CORE  I3-N305  8  GB  128  GB  GAMA  4E;LAPTOP;367;331;10;335;111149;Si;TIC  SERVICES  SPA;TIC  SERVICES  SPA;76.423.634-3
2239-9-LR22;5800319;Convenio  Marco  de  Artículos  de  Aseo  e  Higiene;1261592-3733-CM25;53011590;Orden  de  Compra  generada  por  la  Gran  Compra:  76002;2025-07-04;2025-03-20;2025-03-31;2025-04-14;Aceptada;76002;71.102.600-2;UNIDAD  TÉCNICA  DIRECCIÓN  DE  SALUD;Corporación  Municipal  Desarrollo  Social  Antofagast;AVENIDA  ARGENTINA  1595  –  II  PISO;Antofagasta;CORP  MUNICIPAL  DE  DESARROLLO  SOCIAL  DE  A;1889008;BOLSA  DE  BASURA  IMPEKE  PEQUEÑA  50X70  30  L  ROLLO  X  10  UNIDADES  REGIÓN  II;BOLSA  DE  BASURA;420;470;-12;64800;30456000;No;COMERCIAL  MUNOZ  Y  COMPANIA  LIMITADA;COMERCIAL  MUNOZ  Y  COMPANIA  LIMITADA;78.906.980-8
2239-9-LR22;5800319;Convenio  Marco  de  Artículos  de  Aseo  e  Higiene;1261592-3733-CM25;53011590;Orden  de  Compra  generada  por  la  Gran  Compra:  76002;2025-07-04;2025-03-20;2025-03-31;2025-04-14;Aceptada;76002;71.102.600-2;UNIDAD  TÉCNICA  DIRECCIÓN  DE  SALUD;Corporación  Municipal  Desarrollo  Social  Antofagast;AVENIDA  ARGENTINA  1595  –  II  PISO;Antofagasta;CORP  MUNICIPAL  DE  DESARROLLO  SOCIAL  DE  A;1895638;CERA  PARA  PISOS  TREMEX  LÍQUIDA  BIDÓN  5  L  EMULSIÓN  ACRÍLICA  INCOLORA  UNIDAD  REGIÓN  II;CERA  PARA  PISOS;10829;8299;23;3460;28714540;No;PROVEEDORES  INTEGRALES  PRISA  S  A;PROVEEDORES  INTEGRALES  PRISA  S  A;96.556.940-5
