NroLicitacionPublica;IdConvenioMarco;ConvenioMarco;CodigoOC;PorId;NombreOC;FechaEnvioOC;FechaCreacionGC;FechaInvitacion;FechaFinInvitacion;EstadoOC;IdGranCompra;RutUnidadCompra;UnidadCompra;RazonSocialComprador;DireccionUnidadCompra;ComunaUnidadCompra;Institucion;IdProductoCM;NombreProducto;TipoProducto;PrecioTienda;PrecioOfertaEspecial;DescuentoAplicado;CantidadFinal;PrecioOfertaFinal;Adjudicado;RazonSocialSucursal;NombreProveedor;RutProveedor
2239-11-LR24;5802370;Convenio  Marco  para  la  adquisición  de  licencias  de  software  de  ofimática  (Magento);1057499-258-CM25;52759776;Gran  Compra:  76635  Arriendo  Licencias  Microsoft  Office  365  para  el  SSMS;2025-06-11;2025-04-24;2025-04-24;2025-05-09;Aceptada;76635;61.608.108-K;Bienes  y  Servicios;SERVICIO  DE  SALUD  SUR  UNIDAD  HOSPITALARI;Avenida  Santa  Rosa  #  3453;San  Miguel;SERVICIO  DE  SALUD  SUR  UNIDAD  HOSPITALARI;4193073;LICENCIA  MICROSOFT  OFFICE  365  E1  +  DEFENDER  P1  +  TEAMS  GAMA  1E  VALOR  ANUAL;LICENCIA;94;94;0;1350;127008;Si;MSLI  Latam  Inc.;MSLI  Latam  INC;880443249
2239-3-LR24;5802326;Convenio  Marco  para  suministro  de  combustibles  (Magento);218-354-CM25;52739520;Suministro  de  Combustible  para  la  Municipalidad  de  San  Joaquin;2025-06-24;2025-03-10;2025-03-10;2025-03-24;Aceptada;75763;69.254.600-8;Ilustre  Municipalidad  de  San  Joaquin;I  MUNICIPALIDAD  SAN  JOAQUIN;SANTA  ROSA  2606,  3º  piso  Bodega  Central;San  Joaquín;I  MUNICIPALIDAD  SAN  JOAQUIN;2237138;ESTACIÓN  DE  SERVICIO  DIESEL  -  REGIÓN  METROPOLITANA  DESCUENTO  PESOS  POR  LITRO;ESTACIÓN  DE  SERVICIO  DIESEL;0;1;0;1;1;No;EMPRESA  NACIONAL  DE  ENERGIA  ENEX  S.A.;EMPRESA  NACIONAL  DE  ENERGIA  ENEX  SA;92.011.000-2
2239-3-LR24;5802326;Convenio  Marco  para  suministro  de  combustibles  (Magento);218-354-CM25;52739520;Suministro  de  Combustible  para  la  Municipalidad  de  San  Joaquin;2025-06-24;2025-03-10;2025-03-10;2025-03-24;Aceptada;75763;69.254.600-8;Ilustre  Municipalidad  de  San  Joaquin;I  MUNICIPALIDAD  SAN  JOAQUIN;SANTA  ROSA  2606,  3º  piso  Bodega  Central;San  Joaquín;I  MUNICIPALIDAD  SAN  JOAQUIN;2237138;ESTACIÓN  DE  SERVICIO  DIESEL  -  REGIÓN  METROPOLITANA  DESCUENTO  PESOS  POR  LITRO;ESTACIÓN  DE  SERVICIO  DIESEL;0;55;0;1;92436975;Si;COPEC  S.A.;COPEC  S.A.;99.520.000-7
2239-3-LR24;5802326;Convenio  Marco  para  suministro  de  combustibles  (Magento);2341-288-CM25;52928666;Orden  de  Compra  generada  por  la  Gran  Compra:  76647;2025-06-19;2025-04-25;2025-04-25;2025-05-12;Aceptada;76647;69.072.700-5;OFICINA  DE  ADQUISICIONES;I  MUNICIPALIDAD  DE  SAN  BERNARDO;BODEGA    EYZAGUIRRE  450;San  Bernardo;I  MUNICIPALIDAD  DE  SAN  BERNARDO;2237122;ESTACIÓN  DE  SERVICIO  GASOLINA  -  REGIÓN  METROPOLITANA  DESCUENTO  PESOS  POR  LITRO;ESTACIÓN  DE  SERVICIO  GASOLINA;0;50;0;1;52100840;Si;EMPRESA  NACIONAL  DE  ENERGIA  ENEX  S.A.;EMPRESA  NACIONAL  DE  ENERGIA  ENEX  SA;92.011.000-2
2239-3-LR24;5802326;Convenio  Marco  para  suministro  de  combustibles  (Magento);2341-288-CM25;52928666;Orden  de  Compra  generada  por  la  Gran  Compra:  76647;2025-06-19;2025-04-25;2025-04-25;2025-05-12;Aceptada;76647;69.072.700-5;OFICINA  DE  ADQUISICIONES;I  MUNICIPALIDAD  DE  SAN  BERNARDO;BODEGA    EYZAGUIRRE  450;San  Bernardo;I  MUNICIPALIDAD  DE  SAN  BERNARDO;2237122;ESTACIÓN  DE  SERVICIO  GASOLINA  -  REGIÓN  METROPOLITANA  DESCUENTO  PESOS  POR  LITRO;ESTACIÓN  DE  SERVICIO  GASOLINA;0;50;0;1;50;No;COPEC  S.A.;COPEC  S.A.;99.520.000-7
2239-3-LR24;5802326;Convenio  Marco  para  suministro  de  combustibles  (Magento);2341-288-CM25;52928666;Orden  de  Compra  generada  por  la  Gran  Compra:  76647;2025-06-19;2025-04-25;2025-04-25;2025-05-12;Aceptada;76647;69.072.700-5;OFICINA  DE  ADQUISICIONES;I  MUNICIPALIDAD  DE  SAN  BERNARDO;BODEGA    EYZAGUIRRE  450;San  Bernardo;I  MUNICIPALIDAD  DE  SAN  BERNARDO;2237138;ESTACIÓN  DE  SERVICIO  DIESEL  -  REGIÓN  METROPOLITANA  DESCUENTO  PESOS  POR  LITRO;ESTACIÓN  DE  SERVICIO  DIESEL;0;55;0;1;55;No;COPEC  S.A.;COPEC  S.A.;99.520.000-7
2239-3-LR24;5802326;Convenio  Marco  para  suministro  de  combustibles  (Magento);2341-288-CM25;52928666;Orden  de  Compra  generada  por  la  Gran  Compra:  76647;2025-06-19;2025-04-25;2025-04-25;2025-05-12;Aceptada;76647;69.072.700-5;OFICINA  DE  ADQUISICIONES;I  MUNICIPALIDAD  DE  SAN  BERNARDO;BODEGA    EYZAGUIRRE  450;San  Bernardo;I  MUNICIPALIDAD  DE  SAN  BERNARDO;2237138;ESTACIÓN  DE  SERVICIO  DIESEL  -  REGIÓN  METROPOLITANA  DESCUENTO  PESOS  POR  LITRO;ESTACIÓN  DE  SERVICIO  DIESEL;0;59;0;1;100840336;Si;EMPRESA  NACIONAL  DE  ENERGIA  ENEX  S.A.;EMPRESA  NACIONAL  DE  ENERGIA  ENEX  SA;92.011.000-2
2239-1-LR24;5802359;CONVENIO  MARCO  PARA  COMPUTADORES  PORTÁTILES  DESKTOP  Y  AIO;2378-75-CM25;52967464;Orden  de  Compra  generada  por  la  Gran  Compra:  75931;2025-06-26;2025-03-17;2025-03-17;2025-04-01;Aceptada;75931;69.070.700-4;SECRETARIA  DE  PLANIFICACION;I  MUNICIPALIDAD  DE  LA  FLORIDA;AMERICO  VESPUCIO  6886;La  Florida;I  MUNICIPALIDAD  DE  LA  FLORIDA;2227954;ALL  IN  ONE  HP  PROONE  440  G9  WINDOWS  11  PRO  INTEL  CORE  I5-12500  16  GB  16  GB  GAMA  2;ALL  IN  ONE;687;675;2;130;87848;No;LECHNER  S.A;LECHNER  S.A.;78.114.650-1
2239-1-LR24;5802359;CONVENIO  MARCO  PARA  COMPUTADORES  PORTÁTILES  DESKTOP  Y  AIO;2378-75-CM25;52967464;Orden  de  Compra  generada  por  la  Gran  Compra:  75931;2025-06-26;2025-03-17;2025-03-17;2025-04-01;Aceptada;75931;69.070.700-4;SECRETARIA  DE  PLANIFICACION;I  MUNICIPALIDAD  DE  LA  FLORIDA;AMERICO  VESPUCIO  6886;La  Florida;I  MUNICIPALIDAD  DE  LA  FLORIDA;2227958;ALL  IN  ONE  LENOVO  THINKCENTRE  NEO  50A  24  WINDOWS  11  PRO  INTEL  CORE  I7-13700H  16  GB  1TB  GAMA  3;ALL  IN  ONE;725;698;4;10;6984;Si;REPARACIONES  BBCC  LIMITADA;REPARACIONES  BBCC  LIMITADA;76.376.530-k
2239-1-LR24;5802359;CONVENIO  MARCO  PARA  COMPUTADORES  PORTÁTILES  DESKTOP  Y  AIO;2378-75-CM25;52967464;Orden  de  Compra  generada  por  la  Gran  Compra:  75931;2025-06-26;2025-03-17;2025-03-17;2025-04-01;Aceptada;75931;69.070.700-4;SECRETARIA  DE  PLANIFICACION;I  MUNICIPALIDAD  DE  LA  FLORIDA;AMERICO  VESPUCIO  6886;La  Florida;I  MUNICIPALIDAD  DE  LA  FLORIDA;2227959;ALL  IN  ONE  HP  PROONE  440  G9  WINDOWS  11  PRO  INTEL  CORE  I7-12700  16  GB  1TB  GAMA  3;ALL  IN  ONE;778;774;0;10;7748;No;LECHNER  S.A;LECHNER  S.A.;78.114.650-1
