NroLicitacionPublica;IdConvenioMarco;ConvenioMarco;CodigoOC;PorId;NombreOC;FechaEnvioOC;FechaCreacionGC;FechaInvitacion;FechaFinInvitacion;EstadoOC;IdGranCompra;RutUnidadCompra;UnidadCompra;RazonSocialComprador;DireccionUnidadCompra;ComunaUnidadCompra;Institucion;IdProductoCM;NombreProducto;TipoProducto;PrecioTienda;PrecioOfertaEspecial;DescuentoAplicado;CantidadFinal;PrecioOfertaFinal;Adjudicado;RazonSocialSucursal;NombreProveedor;RutProveedor
2239-13-LR23;5802346;CM  Administración,Entrega  de  Beneficios  y  Tarjetas  de  Beneficios  Institucionales  y  Sociales(Magento);1057418-302-CM25;52581722;GC-CONVENIO  BENEFICIO  DE  ALIMENTACION-HOSPITAL  MULCHEN-22.01.001.002-HFCM  31302-(PTV);2025-05-07;2025-03-26;2025-04-01;2025-04-15;Recepción  Conforme;76112;61.607.302-8;Bienes  y  Servicios;SERVICIO  DE  SALUD  BIO  BIO  HOSPITAL  DE  MULCHEN;Bienes  y  Servicios;Mulchén;SERVICIO  DE  SALUD  BIO  BIO  HOSPITAL  DE  MULCHEN;1964920;ALIMENTACIÓN  -;ALIMENTACIÓN;0;450252101;0;1;450252101;Si;EDENRED  CHILE  SOCIEDAD  ANONIMA;Edenred  Chile  S.A.;96.781.350-8
2239-2-LR23;5802330;Convenio  Marco  Artículos  de  Escritorio  y  Papelería;1057544-10803-CM25;52477872;Orden  de  Compra  generada  por  la  Gran  Compra:  75559;2025-05-06;2025-02-24;2025-02-26;2025-03-12;Recepción  Conforme;75559;61.607.202-1;Bienes  y  Servicios;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;Avenida  Alto  Horno,  777  Las  Higueras;Talcahuano;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;1976911;CARPETA  TORRE  COLGANTE  OFICIO  SLIDE  CARTÓN  METAL  COLOR  CRAFT  UNIDAD  REGIÓN  VIII;CARPETA;456;290;36;754;218660;No;SERVICIOS  INTEGRADOS  SIDAPT  LIMITADA;SERVICIOS  INTEGRADOS  SIDAPT  LIMITADA;76.299.358-9
2239-2-LR23;5802330;Convenio  Marco  Artículos  de  Escritorio  y  Papelería;1057544-10803-CM25;52477872;Orden  de  Compra  generada  por  la  Gran  Compra:  75559;2025-05-06;2025-02-24;2025-02-26;2025-03-12;Recepción  Conforme;75559;61.607.202-1;Bienes  y  Servicios;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;Avenida  Alto  Horno,  777  Las  Higueras;Talcahuano;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;1981994;CORCHETES  SWINGLINE  METAL  CROMADO  26/6MM  CAJA  5000  UNIDADES  REGIÓN  VIII;CORCHETES;660;558;15;1649;920142;No;PROVEEDORES  INTEGRALES  PRISA  S  A;PROVEEDORES  INTEGRALES  PRISA  S  A;96.556.940-5
2239-2-LR23;5802330;Convenio  Marco  Artículos  de  Escritorio  y  Papelería;1057544-10803-CM25;52477872;Orden  de  Compra  generada  por  la  Gran  Compra:  75559;2025-05-06;2025-02-24;2025-02-26;2025-03-12;Recepción  Conforme;75559;61.607.202-1;Bienes  y  Servicios;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;Avenida  Alto  Horno,  777  Las  Higueras;Talcahuano;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;2013070;NOTA  ADHESIVA  TESA  PAPEL  AMARILLO  75X75  MM  100  HOJAS  UNIDAD  REGIÓN  VIII;NOTA  ADHESIVA;425;377;11;6948;2619396;No;PROVEEDORES  INTEGRALES  PRISA  S  A;PROVEEDORES  INTEGRALES  PRISA  S  A;96.556.940-5
2239-2-LR23;5802330;Convenio  Marco  Artículos  de  Escritorio  y  Papelería;1057544-10803-CM25;52477872;Orden  de  Compra  generada  por  la  Gran  Compra:  75559;2025-05-06;2025-02-24;2025-02-26;2025-03-12;Recepción  Conforme;75559;61.607.202-1;Bienes  y  Servicios;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;Avenida  Alto  Horno,  777  Las  Higueras;Talcahuano;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;1965946;ARCHIVADOR  AUCA  CARTÓN  DURO  OFICIO  350  HOJAS  LOMO  ANGOSTO  UNIDAD  REGIÓN  VIII;ARCHIVADOR;1432;1392;3;588;818496;No;PROVEEDORES  INTEGRALES  PRISA  S  A;PROVEEDORES  INTEGRALES  PRISA  S  A;96.556.940-5
2239-2-LR23;5802330;Convenio  Marco  Artículos  de  Escritorio  y  Papelería;1057544-10803-CM25;52477872;Orden  de  Compra  generada  por  la  Gran  Compra:  75559;2025-05-06;2025-02-24;2025-02-26;2025-03-12;Recepción  Conforme;75559;61.607.202-1;Bienes  y  Servicios;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;Avenida  Alto  Horno,  777  Las  Higueras;Talcahuano;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;2016453;PERFORADORA  SWINGLINE  PLASTICA  NEGRA  30  HOJAS  UNIDAD  REGIÓN  VIII;PERFORADORA;4330;4190;3;114;477660;No;PROVEEDORES  INTEGRALES  PRISA  S  A;PROVEEDORES  INTEGRALES  PRISA  S  A;96.556.940-5
2239-2-LR23;5802330;Convenio  Marco  Artículos  de  Escritorio  y  Papelería;1057544-10803-CM25;52477872;Orden  de  Compra  generada  por  la  Gran  Compra:  75559;2025-05-06;2025-02-24;2025-02-26;2025-03-12;Recepción  Conforme;75559;61.607.202-1;Bienes  y  Servicios;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;Avenida  Alto  Horno,  777  Las  Higueras;Talcahuano;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;1975143;CARPETA  AUCA  OFICIO  CARTULINA  PLASTIFICADA  LISO  S/DISEÑO  UNIDAD  REGIÓN  VIII;CARPETA;361;326;10;10784;3515584;No;SERVICIOS  INTEGRADOS  SIDAPT  LIMITADA;SERVICIOS  INTEGRADOS  SIDAPT  LIMITADA;76.299.358-9
2239-2-LR23;5802330;Convenio  Marco  Artículos  de  Escritorio  y  Papelería;1057544-10803-CM25;52477872;Orden  de  Compra  generada  por  la  Gran  Compra:  75559;2025-05-06;2025-02-24;2025-02-26;2025-03-12;Recepción  Conforme;75559;61.607.202-1;Bienes  y  Servicios;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;Avenida  Alto  Horno,  777  Las  Higueras;Talcahuano;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;2013869;PAPEL  IMPRESIÓN  PRISA  RESMA  HOJA  TAMAÑO  OFICIO  COLOR  BLANCO  500  HOJAS  UNIDAD  REGIÓN  VIII;PAPEL  IMPRESIÓN;3509;3139;11;10891;34186849;No;PROVEEDORES  INTEGRALES  PRISA  S  A;PROVEEDORES  INTEGRALES  PRISA  S  A;96.556.940-5
2239-2-LR23;5802330;Convenio  Marco  Artículos  de  Escritorio  y  Papelería;1057544-10803-CM25;52477872;Orden  de  Compra  generada  por  la  Gran  Compra:  75559;2025-05-06;2025-02-24;2025-02-26;2025-03-12;Recepción  Conforme;75559;61.607.202-1;Bienes  y  Servicios;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;Avenida  Alto  Horno,  777  Las  Higueras;Talcahuano;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;1976911;CARPETA  TORRE  COLGANTE  OFICIO  SLIDE  CARTÓN  METAL  COLOR  CRAFT  UNIDAD  REGIÓN  VIII;CARPETA;458;317;31;754;239018;No;PROVEEDORES  INTEGRALES  PRISA  S  A;PROVEEDORES  INTEGRALES  PRISA  S  A;96.556.940-5
2239-2-LR23;5802330;Convenio  Marco  Artículos  de  Escritorio  y  Papelería;1057544-10803-CM25;52477872;Orden  de  Compra  generada  por  la  Gran  Compra:  75559;2025-05-06;2025-02-24;2025-02-26;2025-03-12;Recepción  Conforme;75559;61.607.202-1;Bienes  y  Servicios;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;Avenida  Alto  Horno,  777  Las  Higueras;Talcahuano;SERVICIO  DE  SALUD  DE  TALCAHUANO  HOSPITAL;1981637;CORCHETES  ISOFIT  GRAPA  METAL  CROMADO  23/10MM  (3/8")  CAJA  1000  UNIDADES  REGIÓN  VIII;CORCHETES;463;462;0;76;35112;No;SERVICIOS  INTEGRADOS  SIDAPT  LIMITADA;SERVICIOS  INTEGRADOS  SIDAPT  LIMITADA;76.299.358-9
