NroLicitacionPublica;IdConvenioMarco;ConvenioMarco;CodigoOC;PorId;NombreOC;FechaEnvioOC;FechaCreacionGC;FechaInvitacion;FechaFinInvitacion;EstadoOC;IdGranCompra;RutUnidadCompra;UnidadCompra;RazonSocialComprador;DireccionUnidadCompra;ComunaUnidadCompra;Institucion;IdProductoCM;NombreProducto;TipoProducto;PrecioTienda;PrecioOfertaEspecial;DescuentoAplicado;CantidadFinal;PrecioOfertaFinal;Adjudicado;RazonSocialSucursal;NombreProveedor;RutProveedor
2239-8-LR23;5802342;Convenio  Marco  de    Adquisición  de  Vehículos;1020-327-CM25;53401317;ADQ  VEHICULOS  SOP  (GC  77593);2025-09-25;2025-06-30;2025-07-29;2025-08-12;Aceptada;77593;61.202.000-0;MOP  Subsecretaría;MINISTERIO  DE  OBRAS  PUBLICAS  DIREC  CION  GRAL  DE  OO  PP  DCYF;;Santiago;MINISTERIO  DE  OBRAS  PUBLICAS  DIREC  CION  GRAL  DE  OO  PP  DCYF;2243675;SUV  HYUNDAI  TUCSON  NX4  2.0  4WD  AT  PLUS   AT  2025  REGIÓN  RM;SUV;21547058;21547058;0;3;64641174;Si;AUTOMOTORES  GILDEMEISTER  SPA;AUTOMOTORES  GILDEMEISTER  SPA;79.649.140-K
2239-1-LR24;5802359;CONVENIO  MARCO  PARA  COMPUTADORES  PORTÁTILES  DESKTOP  Y  AIO;1180885-7-CM25;53010979;EQUIPOS  COMPUTADORES  LAPTOP  Y  AIO  -  HOSP.  DIEGO  DE  ALMAGRO;2025-09-09;2025-05-29;2025-05-30;2025-06-13;Aceptada;77033;61.606.300-6;Compras  Convenio  GORE  Atacama;SERVICIO  DE  SALUD  ATACAMA;chacabuco  681  5to  piso;Copiapó;SERVICIO  DE  SALUD  ATACAMA;2227920;LAPTOP  LENOVO  THINKBOOK  14  WINDOWS  11  PRO  AMD  RYZEN  3  7330U  8  GB  512  GB  GAMA  1;LAPTOP;475;515;-8;6;3090;No;BOOKCOMPUTER  COMERCIALIZADORA  SPA;BOOKCOMPUTER  COMERCIALIZADORA  SPA;77.108.316-1
2239-1-LR24;5802359;CONVENIO  MARCO  PARA  COMPUTADORES  PORTÁTILES  DESKTOP  Y  AIO;1180885-7-CM25;53010979;EQUIPOS  COMPUTADORES  LAPTOP  Y  AIO  -  HOSP.  DIEGO  DE  ALMAGRO;2025-09-09;2025-05-29;2025-05-30;2025-06-13;Aceptada;77033;61.606.300-6;Compras  Convenio  GORE  Atacama;SERVICIO  DE  SALUD  ATACAMA;chacabuco  681  5to  piso;Copiapó;SERVICIO  DE  SALUD  ATACAMA;2227921;LAPTOP  HP  PROBOOK  445  WINDOWS  11  PRO  AMD  RYZEN  3  7330U  8  GB  512GB  GAMA  1;LAPTOP;453;453;0;6;2723;No;LECHNER  S.A;LECHNER  S.A.;78.114.650-1
2239-1-LR24;5802359;CONVENIO  MARCO  PARA  COMPUTADORES  PORTÁTILES  DESKTOP  Y  AIO;1180885-7-CM25;53010979;EQUIPOS  COMPUTADORES  LAPTOP  Y  AIO  -  HOSP.  DIEGO  DE  ALMAGRO;2025-09-09;2025-05-29;2025-05-30;2025-06-13;Aceptada;77033;61.606.300-6;Compras  Convenio  GORE  Atacama;SERVICIO  DE  SALUD  ATACAMA;chacabuco  681  5to  piso;Copiapó;SERVICIO  DE  SALUD  ATACAMA;2227920;LAPTOP  LENOVO  THINKBOOK  14  WINDOWS  11  PRO  AMD  RYZEN  3  7330U  8  GB  512  GB  GAMA  1;LAPTOP;467;466;0;6;2800;No;TECHNOSYSTEMS  CHILE  SPA;TECHNOSYSTEMS  CHILE  SPA;96.678.350-8
2239-1-LR24;5802359;CONVENIO  MARCO  PARA  COMPUTADORES  PORTÁTILES  DESKTOP  Y  AIO;1180885-7-CM25;53010979;EQUIPOS  COMPUTADORES  LAPTOP  Y  AIO  -  HOSP.  DIEGO  DE  ALMAGRO;2025-09-09;2025-05-29;2025-05-30;2025-06-13;Aceptada;77033;61.606.300-6;Compras  Convenio  GORE  Atacama;SERVICIO  DE  SALUD  ATACAMA;chacabuco  681  5to  piso;Copiapó;SERVICIO  DE  SALUD  ATACAMA;2227953;ALL  IN  ONE  LENOVO  THINKCENTRE  NEO  50A  24  WINDOWS  11  PRO  INTEL  CORE  I5-13500H  16  GB  1  TB  GAMA  2;ALL  IN  ONE;632;622;2;107;66632;No;INGENIERIA  E  INFORMATICA  ASOCIADA  LIMITADA;INGENIERIA  E  INFORMATICA  ASOCIADA  LIMITADA;79.882.360-4
2239-1-LR24;5802359;CONVENIO  MARCO  PARA  COMPUTADORES  PORTÁTILES  DESKTOP  Y  AIO;1180885-7-CM25;53010979;EQUIPOS  COMPUTADORES  LAPTOP  Y  AIO  -  HOSP.  DIEGO  DE  ALMAGRO;2025-09-09;2025-05-29;2025-05-30;2025-06-13;Aceptada;77033;61.606.300-6;Compras  Convenio  GORE  Atacama;SERVICIO  DE  SALUD  ATACAMA;chacabuco  681  5to  piso;Copiapó;SERVICIO  DE  SALUD  ATACAMA;2227953;ALL  IN  ONE  LENOVO  THINKCENTRE  NEO  50A  24  WINDOWS  11  PRO  INTEL  CORE  I5-13500H  16  GB  1  TB  GAMA  2;ALL  IN  ONE;649;648;0;107;69336;No;OPCIONES  SA  SISTEMAS  DE  INFORMACION;OPCIONES  SA  SISTEMAS  DE  INFORMACION;96.523.180-3
2239-1-LR24;5802359;CONVENIO  MARCO  PARA  COMPUTADORES  PORTÁTILES  DESKTOP  Y  AIO;1180885-7-CM25;53010979;EQUIPOS  COMPUTADORES  LAPTOP  Y  AIO  -  HOSP.  DIEGO  DE  ALMAGRO;2025-09-09;2025-05-29;2025-05-30;2025-06-13;Aceptada;77033;61.606.300-6;Compras  Convenio  GORE  Atacama;SERVICIO  DE  SALUD  ATACAMA;chacabuco  681  5to  piso;Copiapó;SERVICIO  DE  SALUD  ATACAMA;2227920;LAPTOP  LENOVO  THINKBOOK  14  WINDOWS  11  PRO  AMD  RYZEN  3  7330U  8  GB  512  GB  GAMA  1;LAPTOP;463;463;0;6;2778;No;OPCIONES  SA  SISTEMAS  DE  INFORMACION;OPCIONES  SA  SISTEMAS  DE  INFORMACION;96.523.180-3
2239-1-LR24;5802359;CONVENIO  MARCO  PARA  COMPUTADORES  PORTÁTILES  DESKTOP  Y  AIO;1180885-7-CM25;53010979;EQUIPOS  COMPUTADORES  LAPTOP  Y  AIO  -  HOSP.  DIEGO  DE  ALMAGRO;2025-09-09;2025-05-29;2025-05-30;2025-06-13;Aceptada;77033;61.606.300-6;Compras  Convenio  GORE  Atacama;SERVICIO  DE  SALUD  ATACAMA;chacabuco  681  5to  piso;Copiapó;SERVICIO  DE  SALUD  ATACAMA;2227923;LAPTOP  ACER  TMP  214-55-11CL  WINDOWS  11  PRO  INTEL  CORE  I3-1315U  8  GB  512  GB  GAMA  1;LAPTOP;484;399;18;6;2394;Si;NET  NOW  TECNOLOGIA  Y  COMPUTACION  S  A;NET  NOW  TECNOLOGÍA  Y  COMPUTACIÓN  S.A.;78.112.170-3
2239-1-LR24;5802359;CONVENIO  MARCO  PARA  COMPUTADORES  PORTÁTILES  DESKTOP  Y  AIO;1180885-7-CM25;53010979;EQUIPOS  COMPUTADORES  LAPTOP  Y  AIO  -  HOSP.  DIEGO  DE  ALMAGRO;2025-09-09;2025-05-29;2025-05-30;2025-06-13;Aceptada;77033;61.606.300-6;Compras  Convenio  GORE  Atacama;SERVICIO  DE  SALUD  ATACAMA;chacabuco  681  5to  piso;Copiapó;SERVICIO  DE  SALUD  ATACAMA;2227954;ALL  IN  ONE  HP  PROONE  440  G9  WINDOWS  11  PRO  INTEL  CORE  I5-12500  16  GB  16  GB  GAMA  2;ALL  IN  ONE;680;687;-1;107;73535;No;LECHNER  S.A;LECHNER  S.A.;78.114.650-1
2239-1-LR24;5802359;CONVENIO  MARCO  PARA  COMPUTADORES  PORTÁTILES  DESKTOP  Y  AIO;1180885-7-CM25;53010979;EQUIPOS  COMPUTADORES  LAPTOP  Y  AIO  -  HOSP.  DIEGO  DE  ALMAGRO;2025-09-09;2025-05-29;2025-05-30;2025-06-13;Aceptada;77033;61.606.300-6;Compras  Convenio  GORE  Atacama;SERVICIO  DE  SALUD  ATACAMA;chacabuco  681  5to  piso;Copiapó;SERVICIO  DE  SALUD  ATACAMA;2227953;ALL  IN  ONE  LENOVO  THINKCENTRE  NEO  50A  24  WINDOWS  11  PRO  INTEL  CORE  I5-13500H  16  GB  1  TB  GAMA  2;ALL  IN  ONE;623;632;-1;107;67696;No;TECHNOSYSTEMS  CHILE  SPA;TECHNOSYSTEMS  CHILE  SPA;96.678.350-8
